Save Bit,FC State,Time,Pre-converted Accel X,Pre-converted Accel Y,Pre-converted Accel Z,Pre-converted Gyro X,Pre-converted Gyro Y,Pre-converted Gyro Z,Pre-converted Magnetometer X,Pre-converted Magnetometer Y,Pre-converted Magnetometer Z,Barometric Pressure,Barometric Temperature,Unit Quaternion W,Unit Quaternion X,Unit Quaternion Y,Unit Quaternion Z,Roll Body Rate,Velocity,Velo X,Velo Y,Velo Z,Barometric Altitude,GPS Altitude (ft),GPS Speed (KmH),GPS UTC Time,GPS Longitude (deg),GPS Latitude (deg),GPS North/South,GPS East/West,GPS GLL Status,GPS RMC Status,Canard Feedback
1,3,0.7010,-0.0622,0.0909,9.9916,-17.4777,-11.7281,16.8704,-1.1006,1.8553,-60.0941,97074.4141,31.9526,0.6587,-0.1437,-0.7080,-0.2102,16.8704,0.0000,0.0000,0.0000,0.0000,384.3588,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.7320,0.0048,-0.0813,9.7427,4.7395,14.2123,-4.5533,-1.3521,2.0754,-58.5066,97077.8203,32.0104,0.6646,-0.1298,-0.7085,-0.1986,-4.5533,0.0000,0.0000,0.0000,0.0000,384.1158,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.7640,-0.0287,-0.0383,9.9006,-18.8815,22.8183,-13.7087,-1.4465,2.0439,-58.2180,97074.3750,32.0379,0.6706,-0.1159,-0.7074,-0.1910,-13.7087,0.0000,0.0000,0.0000,0.0000,384.4703,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.7920,-0.1723,0.0000,9.9341,-16.4401,11.7098,-5.1026,-1.2578,1.7609,-60.4405,97076.1016,31.9091,0.6689,-0.1312,-0.7013,-0.2088,-5.1026,0.0000,0.0000,0.0000,0.0000,384.1476,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.8230,-0.1005,0.1579,9.8193,7.8523,-4.9531,0.1465,-1.4465,2.0125,-60.8157,97073.1172,32.0399,0.6660,-0.1409,-0.6998,-0.2166,0.1465,0.0000,0.0000,0.0000,0.0000,384.5891,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.8540,-0.0335,0.1101,9.9341,-0.4486,-2.5727,-21.9486,-1.1006,1.6980,-58.9107,97076.5547,31.9349,0.6623,-0.1463,-0.6984,-0.2285,-21.9486,0.0000,0.0000,0.0000,0.0000,384.1379,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.8850,-0.1436,-0.1388,9.6757,9.1951,5.6672,1.7945,-1.2578,2.0439,-60.4982,97080.6953,31.9181,0.6675,-0.1308,-0.7014,-0.2128,1.7945,0.0000,0.0000,0.0000,0.0000,383.7321,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.9170,-0.1962,-0.0239,9.9198,9.3782,-13.9864,15.6497,-1.2264,1.8867,-61.2775,97072.0859,31.9099,0.6696,-0.1184,-0.7069,-0.1950,15.6497,0.0000,0.0000,0.0000,0.0000,384.5209,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.9420,0.1196,0.1005,9.8863,-15.1583,9.3294,-13.7087,-1.2264,1.9182,-59.9786,97080.7656,31.9478,0.6702,-0.1206,-0.7043,-0.2008,-13.7087,0.0000,0.0000,0.0000,0.0000,383.7634,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.9690,0.1771,0.0574,9.9916,-0.2045,6.2165,0.5127,-1.1949,2.0439,-61.3641,97077.4531,32.0000,0.6722,-0.1202,-0.7029,-0.1991,0.5127,0.0000,0.0000,0.0000,0.0000,384.1366,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,1.0020,-0.1196,-0.0526,9.6040,10.4768,-6.5400,-1.6236,-1.1006,1.8867,-58.1602,97078.5234,31.9852,0.6740,-0.1037,-0.7082,-0.1827,-1.6236,0.0000,0.0000,0.0000,0.0000,384.0182,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,1.0410,0.0383,0.1531,9.6805,1.6876,-1.9623,3.6255,-1.3521,1.9811,-59.4014,97079.6250,32.0960,0.6730,-0.1111,-0.7069,-0.1870,3.6255,0.0000,0.0000,0.0000,0.0000,384.0557,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,1.0720,-0.1388,-0.0526,9.7427,10.8431,11.6487,-6.6285,-1.1635,1.9811,-61.3641,97072.5703,31.9161,0.6782,-0.0929,-0.7083,-0.1725,-6.6285,0.0000,0.0000,0.0000,0.0000,384.4835,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,1.1040,0.0239,-0.1005,9.8815,16.8856,21.2314,9.6071,-1.2578,1.8553,-59.9786,97077.5547,31.9564,0.6854,-0.0805,-0.7065,-0.1568,9.6071,0.0000,0.0000,0.0000,0.0000,384.0725,0.0000,3.2000,134734.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,1.1360,0.1914,-0.0431,9.7044,-6.0639,-8.3711,13.8796,-1.4465,1.9496,-60.3250,97072.2578,32.0149,0.6853,-0.0814,-0.7079,-0.1507,13.8796,0.0000,0.0000,0.0000,0.0000,384.6368,0.0000,3.2000,34138.0000,-105.1125,39.8980,b'N',b'W',b'A',b'A',0.0000
1,3,1.1670,0.0861,0.1675,9.7523,-5.9419,2.4323,0.7568,-1.1006,2.0125,-61.3064,97080.4922,31.9055,0.6851,-0.0885,-0.7060,-0.1563,0.7568,0.0000,0.0000,0.0000,0.0000,383.7359,0.0000,3.2000,34138.0000,-105.1125,39.8980,b'N',b'W',b'A',b'A',0.0000
1,3,1.1990,-0.1675,0.0335,9.6662,-12.3507,5.6062,1.6114,-1.3836,1.7609,-59.3436,97081.1953,32.0960,0.6835,-0.1047,-0.7017,-0.1717,1.6114,0.0000,0.0000,0.0000,0.0000,383.9096,0.0000,3.2000,34138.0000,-105.1125,39.8980,b'N',b'W',b'A',b'A',0.0000
1,3,1.2300,-0.1627,-0.1531,9.8145,5.9602,6.7048,2.7100,-1.2578,1.8867,-61.9125,97079.0156,32.0926,0.6878,-0.0899,-0.7032,-0.1564,2.7100,0.0000,0.0000,0.0000,0.0000,384.1080,0.0000,3.2000,34138.0000,-105.1125,39.8980,b'N',b'W',b'A',b'A',0.0000
1,3,1.2620,0.1866,0.1627,9.9628,10.7210,-10.3853,-4.7974,-1.1006,1.9496,-60.9311,97078.0781,31.9013,0.6858,-0.0907,-0.7049,-0.1568,-4.7974,0.0000,0.0000,0.0000,0.0000,383.9548,0.0000,3.2000,34138.0000,-105.1125,39.8980,b'N',b'W',b'A',b'A',0.0000
1,3,1.2940,0.0813,0.0670,9.7427,-6.0029,7.8645,2.0996,-1.1949,1.7295,-58.6798,97075.1250,32.0456,0.6871,-0.0949,-0.7025,-0.1594,2.0996,0.0000,0.0000,0.0000,0.0000,384.4100,0.0000,3.2000,34138.0000,-105.1125,39.8980,b'N',b'W',b'A',b'A',0.0000
1,3,1.3250,-0.1531,0.0766,9.8815,13.1014,14.0902,6.0670,-1.3836,1.9496,-59.0550,97076.3359,31.9774,0.6880,-0.1063,-0.6977,-0.1687,6.0670,0.0000,0.0000,0.0000,0.0000,384.2120,0.0000,3.2000,202725.0000,-114.0307,51.1504,b'N',b'W',b'A',b'A',0.0000
1,3,1.3560,-0.0144,0.0526,9.8001,-7.8340,-14.7799,-13.7087,-1.1949,1.9496,-60.9023,97075.6641,31.9920,0.6826,-0.1156,-0.6985,-0.1810,-13.7087,0.0000,0.0000,0.0000,0.0000,384.2922,0.0000,3.2000,202725.0000,-114.0307,51.1504,b'N',b'W',b'A',b'A',0.0000
1,3,1.3870,-0.0239,-0.1675,9.8289,-10.2144,23.4287,-9.4362,-1.2264,1.9811,-58.9973,97081.5156,32.0245,0.6890,-0.1025,-0.6964,-0.1728,-9.4362,0.0000,0.0000,0.0000,0.0000,383.7898,0.0000,3.2000,202725.0000,-114.0307,51.1504,b'N',b'W',b'A',b'A',0.0000
1,3,1.4180,0.0335,0.0861,9.6135,-6.6743,9.9397,6.4332,-1.2893,1.6980,-61.2198,97075.9766,32.0384,0.6900,-0.1107,-0.6928,-0.1779,6.4332,0.0000,0.0000,0.0000,0.0000,384.3217,0.0000,3.2000,202725.0000,-114.0307,51.1504,b'N',b'W',b'A',b'A',0.0000
1,3,1.4500,-0.0048,0.0670,9.7667,-2.4018,-8.1270,-6.7506,-1.4779,1.9811,-60.5848,97079.4219,32.0838,0.6864,-0.1189,-0.6927,-0.1869,-6.7506,0.0000,0.0000,0.0000,0.0000,384.0589,0.0000,3.2000,202725.0000,-114.0307,51.1504,b'N',b'W',b'A',b'A',0.0000
1,3,1.4820,-0.0096,-0.0526,9.9437,-10.8247,5.3010,4.5411,-1.2578,1.9496,-58.2180,97072.0469,31.9743,0.6900,-0.1093,-0.6936,-0.1755,4.5411,0.0000,0.0000,0.0000,0.0000,384.6062,0.0000,3.2000,202725.0000,-114.0307,51.1504,b'N',b'W',b'A',b'A',0.0000
1,3,1.5130,0.1723,0.1483,9.9054,17.1298,-15.2682,12.9030,-1.1635,1.8553,-61.8836,97075.7422,32.0446,0.6881,-0.1121,-0.6963,-0.1709,12.9030,0.0000,0.0000,0.0000,0.0000,384.3512,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.5450,0.0096,0.0574,9.9389,13.1624,-6.4179,-0.5249,-1.4150,1.8238,-58.5643,97077.4453,31.9470,0.6860,-0.1170,-0.6966,-0.1745,-0.5249,0.0000,0.0000,0.0000,0.0000,384.0709,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.5760,-0.1340,-0.0287,9.7044,16.3973,9.4514,-6.0182,-1.4465,1.9811,-59.9498,97073.2500,31.9771,0.6907,-0.0981,-0.6986,-0.1588,-6.0182,0.0000,0.0000,0.0000,0.0000,384.4976,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.6070,0.0048,-0.0718,9.8001,-17.7829,8.5969,-7.3610,-1.3207,2.0754,-60.9311,97081.0547,32.0614,0.6937,-0.0887,-0.6983,-0.1523,-7.3610,0.0000,0.0000,0.0000,0.0000,383.8795,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.6390,0.0861,-0.0957,9.6183,-0.0214,12.9915,1.4282,-1.1320,1.6980,-60.2673,97072.5703,31.9496,0.6976,-0.0812,-0.6971,-0.1440,1.4282,0.0000,0.0000,0.0000,0.0000,384.5257,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.6700,-0.1292,0.1436,9.7523,16.3363,-2.5116,6.3111,-1.4150,1.8238,-60.0364,97077.0156,31.9255,0.6959,-0.0917,-0.6961,-0.1511,6.3111,0.0000,0.0000,0.0000,0.0000,384.0830,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.7020,0.0526,-0.0766,9.6470,3.3967,3.6530,1.3672,-1.1006,1.7924,-60.9889,97072.9766,31.9628,0.6982,-0.0830,-0.6969,-0.1412,1.3672,0.0000,0.0000,0.0000,0.0000,384.5053,0.0000,3.2000,134730.3594,12.5214,55.6720,b'N',b'E',b'A',b'A',0.0000
1,3,1.7330,0.0861,0.1388,9.7954,-0.3265,10.0618,6.9215,-1.1320,1.8238,-61.4795,97080.5703,31.9988,0.6997,-0.0894,-0.6940,-0.1444,6.9215,0.0000,0.0000,0.0000,0.0000,383.8460,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.7640,0.1579,0.0574,9.9389,10.9041,-3.4882,6.3722,-1.3836,1.7295,-59.6323,97076.1172,31.9852,0.6996,-0.0893,-0.6949,-0.1406,6.3722,0.0000,0.0000,0.0000,0.0000,384.2415,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.7960,-0.0383,-0.0813,9.9533,1.5045,-11.9722,-10.1076,-1.2578,2.0125,-59.2282,97073.0781,31.9069,0.6990,-0.0747,-0.6995,-0.1288,-10.1076,0.0000,0.0000,0.0000,0.0000,384.4245,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.8280,0.1962,0.0909,9.6518,-7.0405,-12.5826,11.8654,-1.1949,1.9811,-58.3045,97072.0000,31.9052,0.6969,-0.0802,-0.7010,-0.1281,11.8654,0.0000,0.0000,0.0000,0.0000,384.5232,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.8590,0.0096,0.1005,9.6997,19.1440,3.7140,6.2501,-1.3207,1.7609,-58.3911,97075.2188,31.9258,0.6972,-0.0859,-0.6996,-0.1306,6.2501,0.0000,0.0000,0.0000,0.0000,384.2499,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.8910,0.0957,0.1866,9.7954,-1.7914,19.4614,0.6958,-1.4150,1.6980,-61.8836,97075.4766,32.0481,0.7002,-0.0915,-0.6948,-0.1362,0.6958,0.0000,0.0000,0.0000,0.0000,384.3803,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.9230,-0.0479,-0.0526,9.8959,-16.0739,11.0994,-3.2105,-1.4150,1.9496,-61.7682,97080.1016,32.0792,0.7039,-0.0799,-0.6944,-0.1263,-3.2105,0.0000,0.0000,0.0000,0.0000,383.9904,0.0000,3.2000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.9540,-0.1675,-0.0813,9.9724,-9.7261,-6.3569,-2.1729,-1.1320,1.8238,-60.5848,97076.4688,31.9385,0.7044,-0.0673,-0.6973,-0.1143,-2.1729,0.0000,0.0000,0.0000,0.0000,384.1507,0.0000,2.6000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,1.9860,-0.1340,0.1244,9.9724,18.4726,17.8744,-6.3233,-1.1635,1.8867,-61.3930,97074.3125,32.0403,0.7063,-0.0748,-0.6929,-0.1244,-6.3233,0.0000,0.0000,0.0000,0.0000,384.4784,0.0000,2.6000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.0170,0.0574,0.0622,9.9581,13.8338,12.4422,-5.5299,-1.4779,1.6980,-58.1891,97079.8281,32.0076,0.7080,-0.0751,-0.6907,-0.1264,-5.5299,0.0000,0.0000,0.0000,0.0000,383.9260,0.0000,2.6000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.0480,-0.0431,-0.1866,9.9246,-4.6601,0.8454,3.3204,-1.2578,2.0754,-61.0466,97080.2578,32.0037,0.7099,-0.0645,-0.6920,-0.1143,3.3204,0.0000,0.0000,0.0000,0.0000,383.8810,0.0000,2.6000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.0800,0.0766,-0.0431,9.7571,11.9417,13.4798,17.4197,-1.4465,1.8553,-60.0652,97072.9531,31.9579,0.7136,-0.0603,-0.6902,-0.1034,17.4197,0.0000,0.0000,0.0000,0.0000,384.5012,0.0000,2.6000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.1110,-0.1053,0.1244,9.6949,13.7118,23.1235,-11.3893,-1.1949,1.8238,-59.5745,97080.9531,32.0293,0.7164,-0.0672,-0.6849,-0.1151,-11.3893,0.0000,0.0000,0.0000,0.0000,383.8484,0.0000,2.6000,134731.3594,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.1430,-0.0383,-0.0479,9.6375,-6.2470,-0.1312,7.8370,-1.4779,1.7295,-60.9889,97080.1797,31.9662,0.7181,-0.0564,-0.6863,-0.1011,7.8370,0.0000,0.0000,0.0000,0.0000,383.8411,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.1740,0.1148,0.0622,9.9389,-8.4443,21.2314,-3.0274,-1.1006,1.6980,-61.0755,97078.8281,32.0530,0.7213,-0.0593,-0.6821,-0.1050,-3.0274,0.0000,0.0000,0.0000,0.0000,384.0757,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.2050,0.0383,0.1196,9.7906,-9.9702,22.5132,-13.7697,-1.4465,1.8238,-61.9414,97078.8281,31.9032,0.7236,-0.0655,-0.6772,-0.1161,-13.7697,0.0000,0.0000,0.0000,0.0000,383.8872,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.2350,0.0431,-0.0957,9.9820,13.4066,-13.0098,-20.7889,-1.1635,2.0439,-60.0364,97072.3438,32.0817,0.7215,-0.0506,-0.6820,-0.1081,-20.7889,0.0000,0.0000,0.0000,0.0000,384.7138,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.2670,0.1675,0.1148,9.8289,-6.3081,13.2357,-8.2155,-1.3521,1.6980,-61.1620,97072.0469,31.9690,0.7231,-0.0532,-0.6794,-0.1130,-8.2155,0.0000,0.0000,0.0000,0.0000,384.5995,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.2980,0.0335,-0.0670,9.9724,3.7629,-2.7558,8.0201,-1.4465,1.8553,-60.4116,97080.3359,31.9232,0.7236,-0.0456,-0.6812,-0.1015,8.0201,0.0000,0.0000,0.0000,0.0000,383.7725,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.3290,-0.1292,-0.0191,9.9389,13.4066,-13.0709,-2.6612,-1.2893,1.9811,-58.7952,97078.6797,31.9656,0.7225,-0.0283,-0.6856,-0.0850,-2.6612,0.0000,0.0000,0.0000,0.0000,383.9792,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
1,3,2.3610,0.1196,0.0239,9.8480,6.4485,-6.6621,2.8931,-1.3207,1.6980,-58.5932,97081.9062,31.9341,0.7211,-0.0286,-0.6873,-0.0829,2.8931,0.0000,0.0000,0.0000,0.0000,383.6401,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'A',b'A',0.0000
