Save Bit,FC State,Time,Pre-converted Accel X,Pre-converted Accel Y,Pre-converted Accel Z,Pre-converted Gyro X,Pre-converted Gyro Y,Pre-converted Gyro Z,Pre-converted Magnetometer X,Pre-converted Magnetometer Y,Pre-converted Magnetometer Z,Barometric Pressure,Barometric Temperature,Unit Quaternion W,Unit Quaternion X,Unit Quaternion Y,Unit Quaternion Z,Roll Body Rate,Velocity,Velo X,Velo Y,Velo Z,Barometric Altitude,GPS Altitude (ft),GPS Speed (KmH),GPS UTC Time,GPS Longitude (deg),GPS Latitude (deg),GPS North/South,GPS East/West,GPS GLL Status,GPS RMC Status,Canard Feedback
1.0,3.0,0.5,0.1055,-0.0587,20.1066,-0.0093,0.0035,-0.0196,-0.0313,-0.0036,-0.0277,101318.4199,29.9964,0.3827,0.0,0.0,0.9239,-0.004,26.8726,18.9663,-18.9663,1.6425,1.7971,1.7971,96.7415,120000.500,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.55,0.0933,-0.0223,20.8552,-0.0371,-0.0471,0.0205,-0.0074,0.0205,0.0062,101317.4087,29.9959,0.3827,0.0,0.0,0.9239,0.0024,26.8777,18.9663,-18.9663,1.7227,2.0733,2.0733,96.7596,120000.550,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.6,0.0079,-0.0856,21.9645,0.0172,0.0376,-0.0302,-0.0017,0.0085,-0.0111,101316.3505,29.9953,0.3827,0.0,0.0,0.9239,0.02,26.8827,18.9663,-18.9663,1.7994,2.3623,2.3623,96.7777,120000.600,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.65,0.1353,-0.3182,22.7423,0.0238,-0.0029,0.0213,-0.0175,0.0058,0.0042,101315.2472,29.9947,0.3827,0.0,0.0,0.9239,-0.0001,26.8877,18.9663,-18.9663,1.8729,2.6636,2.6636,96.7958,120000.650,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.7,0.0561,-0.1654,23.1792,-0.014,0.0116,-0.0033,0.013,-0.0075,0.0011,101314.1007,29.9941,0.3827,0.0,0.0,0.9239,0.0071,26.8927,18.9663,-18.9663,1.9436,2.9768,2.9768,96.8138,120000.700,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.75,-0.1031,-0.2173,23.9564,0.007,-0.0276,-0.0019,-0.0013,0.0046,0.0094,101312.9125,29.9935,0.3827,0.0,0.0,0.9239,0.0052,26.8977,18.9663,-18.9663,2.0118,3.3013,3.3013,96.8319,120000.750,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.8,0.0443,-0.27,24.9084,-0.0053,-0.0094,-0.0342,0.0115,0.0239,-0.0019,101311.6841,29.9928,0.3827,0.0,0.0,0.9239,-0.0059,26.9028,18.9663,-18.9663,2.0778,3.6368,3.6368,96.8499,120000.800,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.85,-0.1151,-0.1434,25.2324,0.0066,-0.0134,-0.0029,-0.0037,-0.0011,0.0187,101310.4167,29.9921,0.3827,0.0,0.0,0.9239,0.0106,26.9078,18.9663,-18.9663,2.1417,3.983,3.983,96.868,120000.850,-113.1387,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.9,0.1054,0.159,26.0646,-0.0126,0.0294,0.0123,-0.0157,0.0106,-0.0545,101309.1115,29.9914,0.3827,0.0,0.0,0.9239,-0.0085,26.9128,18.9663,-18.9663,2.2038,4.3395,4.3395,96.886,120000.900,-113.1387,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.95,-0.006,-0.0053,27.0567,-0.0177,-0.0117,-0.0267,0.0023,0.0009,0.0038,101307.7696,29.9907,0.3827,0.0,0.0,0.9239,0.0134,26.9178,18.9663,-18.9663,2.2641,4.706,4.706,96.904,120000.950,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.0,-0.0222,0.1549,28.0747,0.021,0.0152,0.01,-0.0253,0.0025,0.024,101306.392,29.9899,0.3827,0.0,0.0,0.9239,-0.0059,26.9228,18.9663,-18.9663,2.3229,5.0823,5.0823,96.9221,120001.000,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.05,-0.0817,0.0493,28.5043,-0.0013,-0.013,0.0018,0.0108,0.0345,0.0374,101304.9796,29.9892,0.3827,0.0,0.0,0.9239,-0.0048,26.9278,18.9663,-18.9663,2.3801,5.4681,5.4681,96.9401,120001.050,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.1,0.1467,0.0939,29.2918,0.0404,-0.0091,-0.0129,-0.0187,0.024,0.0146,101303.5332,29.9884,0.3827,0.0,0.0,0.9239,-0.0109,26.9328,18.9663,-18.9663,2.4361,5.8632,5.8632,96.9581,120001.100,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.15,-0.0185,-0.1081,30.1289,0.0009,-0.0049,0.0171,0.0184,0.0016,0.0337,101302.0536,29.9876,0.3827,0.0,0.0,0.9239,-0.0092,26.9378,18.9663,-18.9663,2.4907,6.2673,6.2673,96.9761,120001.150,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.2,-0.0514,0.0629,30.9279,-0.0185,0.0257,-0.044,-0.0068,0.0043,0.0034,101300.5416,29.9868,0.3827,0.0,0.0,0.9239,-0.0043,26.9428,18.9663,-18.9663,2.5442,6.6803,6.6803,96.9941,120001.200,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.25,-0.0423,0.0874,31.1447,0.0245,-0.0378,0.0069,0.0213,-0.014,0.0001,101298.9978,29.9859,0.3827,0.0,0.0,0.9239,-0.0243,26.9478,18.9663,-18.9663,2.5965,7.102,7.102,97.012,120001.250,-113.1387,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.3,0.0639,-0.0692,31.8103,0.0126,-0.0263,0.0324,-0.0225,-0.0035,0.0106,101297.423,29.9851,0.3827,0.0,0.0,0.9239,-0.0023,26.9528,18.9663,-18.9663,2.6478,7.5322,7.5322,97.03,120001.300,-113.1386,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.35,0.0439,0.0671,32.626,0.0145,-0.0389,0.0288,-0.0136,0.0062,-0.0001,101295.8176,29.9842,0.3827,0.0,0.0,0.9239,-0.0051,26.9578,18.9663,-18.9663,2.6981,7.9708,7.9708,97.048,120001.350,-113.1386,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.4,0.0495,0.0679,32.6186,0.0238,-0.0218,0.0078,0.0076,0.017,-0.0156,101294.1824,29.9833,0.3827,0.0,0.0,0.9239,0.0079,26.9628,18.9663,-18.9663,2.7475,8.4174,8.4174,97.0659,120001.400,-113.1386,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.45,0.0517,-0.0659,33.4461,-0.0131,-0.0162,-0.006,0.0234,0.015,-0.0103,101292.5178,29.9824,0.3827,0.0,0.0,0.9239,0.0042,26.9677,18.9663,-18.9663,2.796,8.8722,8.8722,97.0838,120001.450,-113.1386,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.5,0.257,-0.1347,33.5319,-0.0025,-0.0323,-0.0127,0.0333,-0.0222,-0.0222,101290.8244,29.9815,0.3827,0.0,0.0,0.9239,-0.0071,26.9727,18.9663,-18.9663,2.8436,9.3348,9.3348,97.1018,120001.500,-113.1386,33.8219,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.55,-0.0488,-0.1421,34.0374,-0.0034,-0.0147,-0.0061,0.0008,0.0195,0.0106,101289.1026,29.9806,0.3827,0.0,0.0,0.9239,-0.0046,26.9777,18.9663,-18.9663,2.8905,9.8051,9.8051,97.1197,120001.550,-113.1386,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.6,-0.0615,0.0104,34.2652,-0.0258,-0.0403,0.0109,0.0368,-0.0018,0.0002,101287.353,29.9796,0.3827,0.0,0.0,0.9239,-0.0023,26.9827,18.9663,-18.9663,2.9366,10.2831,10.2831,97.1376,120001.600,-113.1386,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.65,-0.0977,0.0392,34.3776,-0.0053,-0.0204,-0.0161,-0.0058,-0.0197,-0.0072,101285.576,29.9787,0.3827,0.0,0.0,0.9239,0.0149,26.9876,18.9663,-18.9663,2.9819,10.7686,10.7686,97.1555,120001.650,-113.1386,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.7,0.0739,-0.0951,34.532,0.0267,0.024,0.0151,0.022,0.0267,-0.0113,101283.772,29.9777,0.3827,0.0,0.0,0.9239,-0.0082,26.9926,18.9663,-18.9663,3.0265,11.2614,11.2614,97.1734,120001.700,-113.1386,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.75,0.1355,0.0032,34.8162,0.0047,0.0081,0.0427,-0.0188,0.0293,0.0101,101281.9413,29.9767,0.3827,0.0,0.0,0.9239,-0.0072,26.9976,18.9663,-18.9663,3.0705,11.7615,11.7615,97.1913,120001.750,-113.1386,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.8,-0.0137,0.0685,34.956,-0.0269,0.0037,-0.0012,0.0084,0.0053,0.0156,101280.0846,29.9757,0.3827,0.0,0.0,0.9239,-0.0113,27.0025,18.9663,-18.9663,3.1139,12.2688,12.2688,97.2092,120001.800,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.85,-0.1008,0.0742,34.7553,-0.0311,-0.0201,-0.0269,-0.0468,0.0142,-0.0226,101278.202,29.9747,0.3827,0.0,0.0,0.9239,-0.0148,27.0075,18.9663,-18.9663,3.1566,12.7831,12.7831,97.227,120001.850,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.9,-0.0989,0.1862,34.6899,0.0333,-0.0307,-0.0269,-0.0224,0.0153,-0.0258,101276.2939,29.9736,0.3827,0.0,0.0,0.9239,0.0031,27.0125,18.9663,-18.9663,3.1987,13.3044,13.3044,97.2449,120001.900,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,1.95,0.0781,0.1532,34.607,-0.0018,-0.0228,0.0155,0.0093,0.0279,0.0191,101274.3608,29.9726,0.3827,0.0,0.0,0.9239,0.002,27.0174,18.9663,-18.9663,3.2403,13.8326,13.8326,97.2627,120001.950,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.0,0.0892,-0.1202,34.1559,-0.0129,-0.0009,-0.0012,-0.0262,0.0146,-0.0275,101272.4029,29.9715,0.3827,0.0,0.0,0.9239,0.0128,27.0224,18.9663,-18.9663,3.2813,14.3675,14.3675,97.2805,120002.000,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.05,0.0652,0.202,34.133,-0.0055,0.0174,0.0175,0.0085,-0.0266,0.0109,101270.4205,29.9705,0.3827,0.0,0.0,0.9239,0.0104,27.0273,18.9663,-18.9663,3.3218,14.9091,14.9091,97.2983,120002.050,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.1,-0.0799,-0.0637,33.8075,-0.0295,0.018,-0.0107,0.0181,0.0402,0.0323,101268.4141,29.9694,0.3827,0.0,0.0,0.9239,0.024,27.0323,18.9663,-18.9663,3.3618,15.4573,15.4573,97.3161,120002.100,-113.1385,33.8218,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.15,0.0279,0.1254,33.6825,0.0285,0.0126,0.0166,-0.01,0.0213,0.0324,101266.3838,29.9683,0.3827,0.0,0.0,0.9239,-0.0007,27.0372,18.9663,-18.9663,3.4013,16.0121,16.0121,97.3339,120002.150,-113.1385,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.2,0.014,0.0082,32.7905,-0.0079,-0.0148,-0.0032,-0.0194,-0.0102,0.0148,101264.3299,29.9672,0.3827,0.0,0.0,0.9239,-0.0026,27.0421,18.9663,-18.9663,3.4403,16.5733,16.5733,97.3517,120002.200,-113.1385,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.25,0.0262,-0.0495,32.284,0.0273,0.0005,-0.0147,-0.0095,-0.0206,0.0142,101262.2528,29.966,0.3827,0.0,0.0,0.9239,-0.013,27.0471,18.9663,-18.9663,3.4789,17.1408,17.1408,97.3694,120002.250,-113.1385,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.3,0.1046,-0.2169,31.9282,0.001,-0.0064,-0.008,-0.0193,0.0101,0.045,101260.1528,29.9649,0.3827,0.0,0.0,0.9239,0.007,27.052,18.9663,-18.9663,3.517,17.7146,17.7146,97.3872,120002.300,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.35,0.0268,-0.0206,31.3541,0.0286,-0.004,-0.0239,-0.002,-0.0056,-0.0467,101258.03,29.9638,0.3827,0.0,0.0,0.9239,0.0012,27.0569,18.9663,-18.9663,3.5547,18.2947,18.2947,97.4049,120002.350,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.4,0.0815,-0.1871,30.5316,0.0051,0.0407,0.0398,0.002,0.0066,-0.0093,101255.8847,29.9626,0.3827,0.0,0.0,0.9239,0.0065,27.0618,18.9663,-18.9663,3.592,18.8809,18.8809,97.4227,120002.400,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.45,0.0081,0.1161,29.8984,0.0171,-0.0352,-0.0019,-0.0061,0.0149,0.017,101253.7172,29.9614,0.3827,0.0,0.0,0.9239,-0.0114,27.0668,18.9663,-18.9663,3.6289,19.4732,19.4732,97.4404,120002.450,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.5,0.0347,0.182,29.3578,0.0144,-0.0047,0.0129,0.0335,-0.0113,-0.0067,101251.5278,29.9602,0.3827,0.0,0.0,0.9239,0.0035,27.0717,18.9663,-18.9663,3.6654,20.0715,20.0715,97.4581,120002.500,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.55,0.0758,-0.0956,28.4455,0.0125,0.0242,-0.0107,-0.0144,-0.0223,0.0248,101249.3165,29.959,0.3827,0.0,0.0,0.9239,0.0021,27.0766,18.9663,-18.9663,3.7015,20.6757,20.6757,97.4757,120002.550,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.6,-0.1749,0.0362,27.7806,0.007,-0.0293,-0.021,0.0278,0.0077,-0.0008,101247.0838,29.9578,0.3827,0.0,0.0,0.9239,0.0014,27.0815,18.9663,-18.9663,3.7372,21.2859,21.2859,97.4934,120002.600,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.65,-0.0384,-0.087,27.1123,-0.0047,-0.0129,-0.0047,-0.0208,-0.0107,0.0026,101244.8298,29.9566,0.3827,0.0,0.0,0.9239,-0.0068,27.0864,18.9663,-18.9663,3.7726,21.9018,21.9018,97.5111,120002.650,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.7,-0.0564,-0.0754,26.4932,0.0383,-0.0106,0.022,0.0015,0.0029,-0.0055,101242.5547,29.9554,0.3827,0.0,0.0,0.9239,0.0119,27.0913,18.9663,-18.9663,3.8076,22.5236,22.5236,97.5287,120002.700,-113.1384,33.8217,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.75,-0.0767,0.0929,25.4908,-0.0181,-0.0045,-0.0104,0.0237,-0.0269,-0.0105,101240.2587,29.9541,0.3827,0.0,0.0,0.9239,0.0205,27.0962,18.9663,-18.9663,3.8423,23.151,23.151,97.5463,120002.750,-113.1384,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.8,-0.033,-0.0046,24.5396,0.0001,-0.0319,-0.0174,0.0226,-0.005,-0.0109,101237.9421,29.9529,0.3827,0.0,0.0,0.9239,-0.0111,27.1011,18.9663,-18.9663,3.8766,23.7842,23.7842,97.5639,120002.800,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.85,0.1794,0.2088,23.7637,0.0003,0.0119,0.0031,-0.0084,0.0143,0.0054,101235.6049,29.9516,0.3827,0.0,0.0,0.9239,0.0072,27.106,18.9663,-18.9663,3.9106,24.4229,24.4229,97.5815,120002.850,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.9,-0.1039,-0.0579,23.1021,0.008,0.0133,0.01,0.0111,0.0121,-0.0155,101233.2475,29.9503,0.3827,0.0,0.0,0.9239,-0.0288,27.1109,18.9663,-18.9663,3.9443,25.0672,25.0672,97.5991,120002.900,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,2.95,0.1162,0.1199,22.3418,-0.0086,0.0102,0.0329,0.0084,-0.0158,0.0191,101230.87,29.949,0.3827,0.0,0.0,0.9239,0.0067,27.1157,18.9663,-18.9663,3.9777,25.717,25.717,97.6167,120002.950,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.0,-0.2019,0.0117,21.7748,0.0063,-0.0174,0.0071,-0.0108,-0.0234,0.0131,101228.4726,29.9478,0.3827,0.0,0.0,0.9239,-0.0187,27.1206,18.9663,-18.9663,4.0108,26.3722,26.3722,97.6342,120003.000,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.05,-0.0402,0.0955,20.8931,-0.0034,0.0017,0.0129,0.0123,0.0003,0.022,101226.0555,29.9464,0.3827,0.0,0.0,0.9239,-0.0052,27.1255,18.9663,-18.9663,4.0436,27.0328,27.0328,97.6517,120003.050,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.1,0.0195,-0.0537,20.2566,-0.0316,-0.018,0.0144,0.0372,0.0112,-0.0226,101223.6188,29.9451,0.3827,0.0,0.0,0.9239,-0.0131,27.1303,18.9663,-18.9663,4.0761,27.6988,27.6988,97.6693,120003.100,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.15,0.0703,-0.0059,19.5559,0.0002,-0.0067,-0.0231,0.0094,0.0081,-0.034,101221.1628,29.9438,0.3827,0.0,0.0,0.9239,-0.0022,27.1352,18.9663,-18.9663,4.1083,28.3701,28.3701,97.6868,120003.150,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.2,0.0853,-0.0139,18.9376,-0.022,0.0431,-0.0193,0.0113,-0.0102,-0.0001,101218.6875,29.9425,0.3827,0.0,0.0,0.9239,0.0084,27.1401,18.9663,-18.9663,4.1403,29.0467,29.0467,97.7042,120003.200,-113.1383,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.25,0.0952,-0.1003,18.5571,-0.0347,0.0019,-0.0217,0.0134,0.006,0.058,101216.1932,29.9411,0.3827,0.0,0.0,0.9239,-0.0186,27.1449,18.9663,-18.9663,4.172,29.7285,29.7285,97.7217,120003.250,-113.1382,33.8216,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.3,-0.0418,0.0794,17.838,0.0027,-0.0238,-0.0266,-0.0292,0.03,0.0253,101213.68,29.9397,0.3827,0.0,0.0,0.9239,-0.0036,27.1498,18.9663,-18.9663,4.2034,30.4155,30.4155,97.7391,120003.300,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.35,-0.0555,0.078,17.1474,0.0098,0.0036,0.0159,0.0092,0.0041,-0.0111,101211.1481,29.9384,0.3827,0.0,0.0,0.9239,-0.0051,27.1546,18.9663,-18.9663,4.2346,31.1076,31.1076,97.7566,120003.350,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.4,0.103,0.0712,16.5092,0.0105,-0.027,0.0058,-0.0203,-0.0327,0.0085,101208.5976,29.937,0.3827,0.0,0.0,0.9239,0.0158,27.1594,18.9663,-18.9663,4.2655,31.8048,31.8048,97.774,120003.400,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.45,-0.023,0.1844,15.9746,0.0113,-0.024,0.0016,-0.0118,0.0041,0.0146,101206.0287,29.9356,0.3827,0.0,0.0,0.9239,0.0043,27.1643,18.9663,-18.9663,4.2961,32.507,32.507,97.7914,120003.450,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.5,-0.1531,0.1739,15.5782,-0.0387,-0.0208,-0.0519,0.0432,0.0409,-0.0274,101203.4415,29.9342,0.3827,0.0,0.0,0.9239,-0.0118,27.1691,18.9663,-18.9663,4.3265,33.2142,33.2142,97.8088,120003.500,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.55,-0.136,-0.045,15.1346,-0.0272,-0.0089,0.0411,-0.0051,-0.0257,0.0274,101200.8362,29.9328,0.3827,0.0,0.0,0.9239,-0.0047,27.1739,18.9663,-18.9663,4.3567,33.9265,33.9265,97.8261,120003.550,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.6,-0.1103,0.0448,14.4571,0.0395,0.0187,-0.0179,-0.0148,0.0006,-0.0033,101198.2129,29.9314,0.3827,0.0,0.0,0.9239,0.0156,27.1787,18.9663,-18.9663,4.3867,34.6436,34.6436,97.8435,120003.600,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.65,0.0597,-0.0748,14.1731,-0.0209,0.0116,0.041,0.0231,-0.0045,-0.0018,101195.5718,29.9299,0.3827,0.0,0.0,0.9239,0.0071,27.1836,18.9663,-18.9663,4.4164,35.3657,35.3657,97.8608,120003.650,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.7,0.0171,0.0028,13.4651,0.0122,0.0105,-0.029,-0.019,0.0019,0.0005,101192.913,29.9285,0.3827,0.0,0.0,0.9239,-0.0092,27.1884,18.9663,-18.9663,4.4459,36.0926,36.0926,97.8781,120003.700,-113.1382,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.75,0.0829,-0.072,13.4308,-0.0137,-0.022,-0.0162,-0.0089,0.0039,0.0229,101190.2365,29.927,0.3827,0.0,0.0,0.9239,-0.0027,27.1932,18.9663,-18.9663,4.4751,36.8243,36.8243,97.8954,120003.750,-113.1381,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.8,-0.0513,0.1944,13.169,0.0016,-0.0108,-0.0441,0.025,0.0228,-0.0151,101187.5427,29.9256,0.3827,0.0,0.0,0.9239,-0.0024,27.198,18.9663,-18.9663,4.5042,37.5608,37.5608,97.9127,120003.800,-113.1381,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.85,0.019,0.0436,12.6939,-0.0127,0.0054,0.0072,0.0009,0.0017,-0.0341,101184.8315,29.9241,0.3827,0.0,0.0,0.9239,-0.0054,27.2028,18.9663,-18.9663,4.533,38.302,38.302,97.9299,120003.850,-113.1381,33.8215,b'N',b'W',b'\x00',b'A',0.0
1.0,4.0,3.9,0.0751,-0.0262,12.7141,0.0112,-0.0126,-0.022,-0.0312,0.0255,0.0065,101182.1032,29.9226,0.3827,0.0,0.0,0.9239,-0.0171,27.2075,18.9663,-18.9663,4.5617,39.048,39.048,97.9471,120003.900,-113.1381,33.8214,b'N',b'W',b'\x00',b'A',0.0
